deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_liquidated_collateral_usd,total_liquidated_principal_usd,avg_time_gap,min_time_gap,burst_count,total_transactions,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidatcall_usd,is_risky_actual,ML_score_0_1000,score_range
7,3,3,4,0,0.0,0.0,95832964.88235295,10,3,17,3.5159174081438e+20,302828495.75526136,294967540.66533905,1.7354370976185414e+20,0.0,0,960,"[900, 1000)"
2,0,0,0,0,0.0,0.0,813756333.5,134,0,2,3.4411757881280076e+20,0.0,0.0,0.0,0.0,0,1000,
1,1,1,4,0,0.0,0.0,231901022.2857143,0,3,7,7.356873206985615e+20,593761137.6147482,592953002.1211905,8.498608343363275e+20,0.0,0,1000,
15,13,10,16,0,0.0,0.0,30185904.12962963,52,7,54,1.6622293870576693e+21,3.8497900537521604e+21,1.709073425633666e+21,7.298883218616618e+20,0.0,0,780,"[700, 800)"
1,2,0,1,0,0.0,0.0,407589201.0,384,0,4,1.3549124836917227e+21,1.8202813533585008e+20,0.0,321094025.9761987,0.0,1,0,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1289778.8753900726,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.0152074445246043e+18,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1111353.092467215,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.097254760600487e+18,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.7709195077987786e+17,0.0,0.0,0.0,0.0,0,1000,
165,56,16,15,0,0.0,0.0,6470239.416666667,34,54,252,8.286465691208703e+22,1.0064105883051659e+21,1.0006194579137422e+21,1.3638524010153495e+22,0.0,1,60,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,6.718919899329737e+19,0.0,0.0,0.0,0.0,0,1000,
29,41,15,19,0,0.0,0.0,15610994.35576923,16,29,104,2.546683155317894e+21,5.055736843306503e+20,2174198716.936354,2.3075995187992178e+21,0.0,1,20,"[0, 100)"
70,0,0,0,0,0.0,0.0,23178423.457142856,24,17,70,260606268420167.75,0.0,0.0,0.0,0.0,0,1000,
